Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1006665,1.10014E+11,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers","713,887.61","27,969.90",13.25,15.79,"19,749.29","540,492.98",,"2,944.64","106,911.13","4,721.41",502.61,"10,566.60",,"27,998.94",,,,,,,,"685,888.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004836,1.1E+11,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals","33,796.91","28,925.70",18.75,47.38,449.6,14.79,,,"2,739.09",100.21,1.89,"1,499.50","2,679.40","27,278.03",,,,,,,,"4,805.08","1,713.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003408,1.10041E+11,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.71,-92.24,212399,C,Other,"29,695.89","29,665.20",14,16.69,,,,,,,,,,"29,695.89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004914,1.1E+11,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,322222,C,Pulp and Paper,"37,906.76","37,867.30",18,21.46,,,,,,,,,,"37,906.76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004804,1.1E+11,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.83,-94.33,326113,C,Other,"30,529.34","30,498.10",14.25,16.99,,,,,,,,,,"30,529.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007408,1.10056E+11,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,GREENE COUNTY,39.76,-80,212112,FF,Other,"154,923.25",,"154,923.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"154,923.25",,,,,,N,N,N
1001106,1.10041E+11,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,"50,999.76","50,947.70",23.75,28.31,,,,,,,,,,84.4,"50,915.36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004680,1.10014E+11,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83,-80.35,562212,HH,Waste,"75,785.50",,"75,785.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"75,785.50",,,,N,N,N
1000766,1.10019E+11,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.77,-73.99,221330,C,Power Plants,"218,874.80","218,623.90",108.75,142.15,,,,,,,,,,"218,874.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007733,1.10041E+11,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.76,-95.3,221320,C,Other,"22,707.96","22,684.40",10.75,12.81,,,,,,,,,,"22,707.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000767,1.10019E+11,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.77,-73.95,221330,C,Power Plants,"194,944.19","194,719.50",96.25,128.44,,,,,,,,,,"194,944.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001033,1.10045E+11,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,"2,172,917.25","2,155,622.80","6,327.75","10,966.70",,,,,,,,,,,"2,172,917.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1012058,1.10068E+11,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,"47,097.00",,"47,097.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,097.00",,,,N,N,N
1006009,1.10018E+11,ABB Inc.,Mt. Pleasant,PA,15666,100 Distribution Circle,WESTMORELAND COUNTY,40.18,-79.58,335313,SS,Other,"6,495.72",,,,,,"6,495.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,495.72",,N,N,N
1002983,1.10018E+11,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.3,-87.89,424210,C,Other,"55,489.19","55,432.20",26,30.99,,,,,,,,,,"55,489.19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007514,1.10008E+11,ABBVIE LTD.,BARCELONETA,PR,617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,"82,095.45","81,829.70",79.5,186.25,,,,,,,,,,"82,095.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004511,1.1E+11,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,331111,"C,Q",Metals,"166,390.22","166,246.40",42.5,101.32,,,,,,,,,,"152,362.25",,,,,,,,,,,,"14,027.97",,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005353,1.10038E+11,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,"189,764.64","189,569.00",89.25,106.39,,,,,,,,,,"189,764.64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006971,1.10064E+11,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.4,-76.31,928110,C,Other,"83,575.72","83,457.70",46.5,71.52,,,,,,,,,,"83,575.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002627,1.10027E+11,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.5,-92.92,325193,"C,II","Other,Waste","177,140.22","176,697.20",342,101.02,,,,,,,,,475.6,"176,882.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258,,,N,N,N
1006529,1.10014E+11,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,"52,774.25",,"52,774.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52,774.25",,,,N,N,N
1004761,1.10014E+11,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2","73,406.12","73,330.50",34.5,41.12,,,,,,,,,,"73,406.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002685,1.10044E+11,AC 857 A,Offshore,TX,0,,,26.3,-94.9,211111,"C,W-OFFSH",Petroleum and Natural Gas Systems,"209,376.55","204,124.80","5,087.25",164.5,,,,,,,,,,"196,451.07",,,,,,,,,,,,,,,,,,12925.474,,,,,,,,,,,,,,,,,,,N,N,N
1005601,1.10007E+11,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327121,C,Minerals,"26,481.60","26,454.20",12.5,14.9,,,,,,,,,,"26,481.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005046,1.10007E+11,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.32,-99.82,327420,C,Minerals,"37,790.61","37,751.70",17.75,21.16,,,,,,,,,,"37,790.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002731,1.10062E+11,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.96,-85.48,221112,C,Power Plants,"95,251.54","95,152.90",45,53.64,,,,,,,,,,"95,251.54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003752,1.1004E+11,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.01,-93.39,325998,C,Chemicals,"183,758.04","183,754.20",1.75,2.09,,,,,,,,,,"183,758.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003422,1.10009E+11,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.36,-89.8,325193,C,Other,"85,443.13","85,354.90",40.25,47.98,,,,,,,,,,"85,443.13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002154,1.10013E+11,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.19,-94,311225,C,Other,"129,892.80","129,009.60",324.75,558.45,,,,,,,,,,"129,892.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006047,1.10011E+11,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.92,-91.69,311221,"C,II","Other,Waste","3,053,653.68","3,034,028.80","7,992.75","11,632.13",,,,,,,,,"19,096.60","3,052,451.18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,202.50",,,N,N,N
1006208,1.1E+11,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.82,-90.21,311221,"C,TT","Other,Waste","1,939,935.28","1,924,851.10","5,771.98","9,312.20",,,,,,,,,"62,505.80","1,939,607.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.98,N,N,N
1010610,1.10033E+11,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,VERNON COUNTY,37.81,-94.59,311222,C,Other,"32,865.48","32,831.50",15.5,18.48,,,,,,,,,,"32,865.48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1011855,1.10002E+11,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.15,-83.43,311222,C,Other,"26,811.70","26,784.00",12.5,15.2,,,,,,,,,,"26,811.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000376,1.10041E+11,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.9,-91.41,311222,C,Other,"117,650.22","117,324.80",127.25,198.17,,,,,,,,,,"117,650.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006080,1.10027E+11,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,HAMILTON COUNTY,35,-85.32,322110,C,Pulp and Paper,"30,339.62","30,306.10",14.75,18.77,,,,,,,,,,"30,339.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000034,1.10067E+11,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.63,-93.58,311222,C,Other,"145,234.28","144,183.60",385.25,665.43,,,,,,,,,,"145,234.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1011961,1.10012E+11,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,LOWNDES COUNTY,30.83,-83.25,311222,C,Other,"41,253.95","40,360.60",141.5,751.85,,,,,,,,,"63,736.20","41,253.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001991,1.10001E+11,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,LENAWEE COUNTY,41.89,-83.99,562212,HH,Waste,"8,235.00",,"8,235.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,235.00",,,,N,N,N
1001633,1.1007E+11,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.68,-86.25,562212,"C,HH",Waste,"79,728.65",,"79,721.50",7.15,,,,,,,,,"2,024.50",10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,718.50",,,,N,N,N
1001636,1.10014E+11,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,LOWNDES COUNTY,30.81,-83.36,562212,HH,Waste,"218,748.25",,"218,748.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"218,748.25",,,,N,N,N
1006790,1.10041E+11,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,ST. CLAIR COUNTY,33.61,-86.52,562212,HH,Waste,"117,889.25",,"117,889.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"117,889.25",,,,N,N,N
1002094,1.10034E+11,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,MCLEAN COUNTY,40.47,-89.03,562212,"C,HH",Waste,"26,421.20",14.7,"26,406.50",,,,,,,,,,,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,406.50",,,,N,N,N
1001845,1.10044E+11,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,WOOD COUNTY,44.41,-89.85,562212,"C,HH",Waste,"22,308.65",117.8,"22,190.25",0.6,,,,,,,,,129.4,118.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,190.00",,,,N,N,N
1003038,1.10007E+11,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,MACON COUNTY,39.73,-92.54,562212,"C,HH",Waste,"29,459.90",52.6,"29,407.00",0.3,,,,,,,,,,52.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,407.00",,,,N,N,N
1006979,1.10018E+11,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,ST. LOUIS COUNTY,38.56,-90.53,562212,HH,Waste,"6,111.00",,"6,111.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,111.00",,,,N,N,N
1001637,1.10012E+11,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,OGLE COUNTY,42.14,-89.09,562212,"C,HH",Waste,"121,900.95",53.7,"121,847.25",,,,,,,,,,,53.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,847.25",,,,N,N,N
1006963,1.10018E+11,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,MACON COUNTY,39.82,-89.04,562212,"C,HH",Waste,"49,066.45",71.2,"48,995.25",,,,,,,,,,,71.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"48,995.25",,,,N,N,N
1000627,1.1E+11,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.34,-77.29,325211,C,Other,"58,554.38","58,494.10",27.5,32.78,,,,,,,,,,"58,554.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000630,1.10001E+11,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.18,-77.16,325199,"C,G,PP","Chemicals,Suppliers of CO2","1,040,591.29","1,040,131.50",205,254.79,,,,,,,,,"5,861.00","416,145.29",,,,"624,446.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N
1005310,1.10012E+11,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.95,-66.15,221112,C,Power Plants,"2,478,454.07","2,462,577.70","5,807.25","10,069.12",,,,,,,,,,"2,478,454.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001444,1.10001E+11,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.77,-118.1,221112,D,Power Plants,"591,937.06","591,335.90",274.25,326.91,,,,,,,,,,,"591,937.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005972,1.10027E+11,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.3,-158.11,221112,C,Power Plants,"1,473,806.46","1,462,442.60","4,153.75","7,210.11",,,,,,,,,,"1,473,806.46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001447,1.10003E+11,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,Orange,33.64,-117.98,221112,D,Power Plants,"256,547.50","256,287.20",118.75,141.55,,,,,,,,,,,"256,547.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001450,1.10014E+11,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.85,-118.4,221112,D,Power Plants,"352,462.04","352,104.20",163.25,194.59,,,,,,,,,,,"352,462.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001223,1.10001E+11,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.59,-78.75,221112,"C,D,PP","Power Plants,Suppliers of CO2","1,233,626.17","1,223,740.00","3,616.25","6,269.92",,,,,,,,,,196.7,"1,233,429.47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003853,1.1E+11,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,ST. CLAIR COUNTY,38.6,-90.17,324191,C,Petroleum and Natural Gas Systems,"49,646.61","49,595.10",23.5,28.01,,,,,,,,,,"49,646.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007551,1.10007E+11,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,ST. LAWRENCE COUNTY,44.73,-75.44,221112,"C,D",Power Plants,"8,104.12","8,095.90",3.75,4.47,,,,,,,,,,"8,104.12",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002069,1.10019E+11,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,PALO ALTO COUNTY,43.1,-94.65,311222,C,Other,"23,269.51","23,245.40",11,13.11,,,,,,,,,,"23,269.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002070,1.1E+11,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,CARROLL COUNTY,41.92,-95.07,311222,C,Other,"18,791.88","18,772.70",8.75,10.43,,,,,,,,,,"18,791.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006054,1.10011E+11,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,WRIGHT COUNTY,42.67,-93.9,311222,C,Other,"108,347.06","107,572.30",284.25,490.51,,,,,,,,,,"108,347.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002408,1.10019E+11,AG PROCESSING INC-SHELDON,SHELDON,IA,51201,804 2ND AVE,O'BRIEN COUNTY,43.18,-95.86,311222,C,Other,"26,328.90","26,301.50",12.5,14.9,,,,,,,,,,"26,328.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
