Facility Id,FRS Id,Facility Name,Reported City,Reported State,Reported Zip Code,Reported Address,Reported County,Reported Latitude,Reported Longitude,Primary NAICS Code,Industry Type (subparts),Total reported direct emissions from Electrical Equipment Use,SF6 emissions ,Does the facility employ continuous emissions monitoring? 
1003708,1.10001E+11,AEP Corporate SF6 Emissions,Columbus,OH,43215,1 Riverside Plaza,WASHINGTON COUNTY,39.588493,-81.682523,221112,DD,"197,281.56","197,281.56",N
1010811,1.10011E+11,Ameren Illinois Electric,Peoria,IL,61602,300 Liberty Street,PEORIA COUNTY,40.69048,-89.59244,221122,DD,"9,888.36","9,888.36",N
1010812,1.10012E+11,Ameren Missouri Electric,St. Louis,MO,63103,1901 Chouteau Avenue,ST. LOUIS CITY,38.620785,-90.211635,221122,DD,"20,301.12","20,301.12",N
1010076,1.10056E+11,Anaheim Electric Distribution System,Anaheim,CA,92805,"201 S. Anaheim Blvd., MS-1101",ORANGE COUNTY,33.83458,-117.91401,221122,DD,"1,422.72","1,422.72",N
1009780,1.10012E+11,Arizona Public Service Company,Phoenix,AZ,85021,2124 W. Cheryl Ave.,MARICOPA COUNTY,33.578425,-112.104408,221121,DD,"14,897.52","14,897.52",N
1010805,1.10064E+11,Avista Corporation,Spokane,WA,99220,1411 E.Mission,SPOKANE COUNTY,47.675155,-117.387747,221121,DD,"11,598.36","11,598.36",N
1007339,1.1E+11,BP Whiting Business Unit,WHITING,IN,46394,2815 INDIANAPOLIS BLVD,Lake,41.6703,-87.4803,324110,"C,D,DD,MM-REF,P,Y",579.12,579.12,N
1013043,1.10011E+11,Basin Electric Power Cooperative,Bismarck,ND,58503,1717 East Interstate Avenue,BURLEIGH COUNTY,46.83447,-100.76678,221122,DD,0,,N
1005611,1.10001E+11,Bonneville Power Administration - Transmission,Vancouver,WA,98663, 5411 NE Hwy 99,CLARK COUNTY,45.6616,-122.6572,221121,DD,"62,456.04","62,456.04",N
1006158,1.10044E+11,CON EDISON - ELECTRIC TRANSMISSION & DISTRIBUTION SYSTEM,New York,NY,10003,4 Irving Place,NEW YORK COUNTY,40.7341,-73.98868,237130,DD,"83,147.04","83,147.04",N
1008343,1.10005E+11,"CenterPoint Energy Houston Electric, LLC substations",Houston,TX,77034,"4500 South Shaver, Building D",HARRIS COUNTY,29.639182,-95.208525,221121,DD,"12,389.52","12,389.52",N
1011288,1.10001E+11,Central Hudson Gas and Electric Corporation Elec T&D Equipment,Poughkeepsie,NY,12601,284 South Avenue,DUTCHESS COUNTY,41.690648,-73.931605,221122,DD,"2,824.92","2,824.92",N
1009507,1.10008E+11,Clark Energy Center,Marcy,NY,13403,6520 Glass Factory Road,ONEIDA COUNTY,43.17781,-75.22843,221121,DD,"21,324.84","21,324.84",N
1007204,1.10001E+11,Coalinga Cogeneration Facility,COALINGA,CA,93210,32812 WEST GALE AVE,Fresno,36.1807,-120.3885,221112,"D,DD",0,,N
1009855,1.10017E+11,Consumers Energy - Electric Asset Management,Jackson,MI,49201,One Energy Plaza,JACKSON COUNTY,42.24668,-84.40311,221121,DD,175.56,175.56,N
1002040,1.10008E+11,DOW TEXAS OPERATIONS FREEPORT,FREEPORT,TX,77541,2301 N. BRAZOSPORT BLVD. BUILDING B-101,BRAZORIA COUNTY,28.9792,-95.3549,325110,"C,DD,TT,W-UNSTG,X","1,643.88","1,643.88",N
1009703,1.10002E+11,Delmarva Power & Light Company,Newark,DE,19702,401 Eagle Run Road,NEW CASTLE COUNTY,39.67317,-75.66861,221122,DD,"9,731.04","9,731.04",N
1009685,1.10064E+11,Duke Energy Power Delivery Carolinas,Charlotte,NC,28202,526 South Church St,MECKLENBURG COUNTY,35.22476,-80.84901,221121,DD,"320,859.84","320,859.84",N
1009540,1.10044E+11,Duke Energy Power Delivery Midwest,Cincinnati,OH,45202,139 East Fourth Street,HAMILTON COUNTY,39.10036,-84.50994,221121,DD,"13,812.24","13,812.24",N
1008769,1.10056E+11,East Garden City Substation,Garden City,NY,11599,595 Stewart Avenue,NASSAU COUNTY,40.731721,-73.611541,221121,DD,401.28,401.28,N
1001695,1.10014E+11,East Kentucky Power Transmission System,Winchester,KY,40391,4775 Lexington Road,CLARK COUNTY,38.02152,-84.25715,221112,DD,"19,231.80","19,231.80",N
1011120,1.1001E+11,Entergy (all subsidiary companies),New Orleans,LA,70113,639 Loyola Ave.,ORLEANS PARISH,29.94914,-90.07633,221122,DD,"221,214.72","221,214.72",N
1009620,1.10018E+11,Evergy Transmission and Distribution,Topeka,KS,66612,818 S Kansas Ave,SHAWNEE COUNTY,39.04854,-95.67468,221121,DD,"33,607.20","33,607.20",N
1003060,1.1001E+11,FPL Transmission and Distribution System,Riviera Beach,FL,33407,"2455 Port West Blvd, BLDG-E",PALM BEACH COUNTY,26.768814,-80.101219,221121,DD,"62,510.76","62,510.76",N
1009854,1.10014E+11,FirstEnergy Substation Group,Akron,OH,44308,76 South Main Street,SUMMIT COUNTY,41.08312,-81.51766,221121,DD,"115,632.48","115,632.48",N
1001032,1.10008E+11,Gibbons Creek Steam Electric Station,ANDERSON,TX,77830,12824 FM244,Grimes,30.6167,-96.0778,221112,"D,DD","5,016.00","5,016.00",N
1012055,1.10068E+11,Grassland Switchyard,Boardman,OR,97818,73396 Tower Road,MORROW COUNTY,45.788823,-119.79989,221112,DD,0,,N
1010344,1.10002E+11,HECO Distribution and Transmission,Honolulu,HI,96814,820 Ward Avenue,HONOLULU COUNTY,21.30042,-157.85149,221122,DD,"3,342.48","3,342.48",N
1009726,1.10049E+11,ITC Midwest,Novi,MI,48377,27175 Energy Way,OAKLAND COUNTY,42.4926,-83.44298,221121,DD,"6,568.68","6,568.68",N
