GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1013144,110070225637,2020,IACX Roswell,"5001 LBJ Freeway, Suite 300",Dallas,TX,75244,DALLAS COUNTY,IACX ENERGY LLC,"5001 LBJ Freeway, Suite 300",Dallas,TX,75244,100,486210
1013147,110041960722,2020,Sierra Army Depot,74 Currant St.,Herlong,CA,96113,LASSEN COUNTY,US GOVERNMENT,,,,,,928110
1013151,110070380218,2020,Arauco North America,5851 Arauco Rd,Grayling,MI,49738,CRAWFORD COUNTY,ARAUCO NORTH AMERICA INC,400 Perimeter Center Terrace #750,Atlanta,GA,30346,100,321219
1013164,110000594198,2020,ERCO Worldwide (USA) Inc,101 State Highway 73 South,Nekoosa,WI,54457,WOOD COUNTY,Superior Plus US Holdings Inc,1209 Orange Street,Wilmington,DE,19801,100,325180
1013165,110070261824,2020,Boise Cascade Wood Products - Florien Operations,225 Studeman St.,Florien,LA,71429,SABINE PARISH,BOISE CASCADE CO,"1111 West Jefferson Street, Suite 300",Boise,ID,83702-5389,100,321212
1013166,110070261822,2020,EC 381 A,,Offshore,LA,0,,TALOS ENERGY INC,"333 Clay St., Suite 3300",Houston,TX,77002,100,211120
1013168,110070225146,2020,"Ingevity Arkansas, LLC",157 Mill Supply Road,Crossett,AR,71635,ASHLEY COUNTY,INGEVITY CORP,5255 Virginia Ave,North Charleston,SC,29406,100,325194
1013173,110070395929,2020,Denton Energy Center,8161 Jim Christal Rd.,Denton,TX,76207,DENTON COUNTY,CITY OF DENTON,215 E. McKinney St.,Denton,TX,76205,100,221112
1013179,,2020,Corpus Christi Liquefaction,2822 La Quinta Rd,Gregory,TX,78359,,CHENIERE ENERGY INC,700 Milam St #1900,Houston,TX,77002,100,221210
1013183,,2020,TARGA WILDCAT GAS PROCESSING PLANT,8496 W State HWY 302,Kermit,TX,79745,,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100,211130
1013184,,2020,TARGA HICKORY HILLS GAS PROCESSING PLANT,8636 U.S. HWY 270,Stuart,OK,74570,,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,60,211130
1013184,,2020,TARGA HICKORY HILLS GAS PROCESSING PLANT,8636 U.S. HWY 270,Stuart,OK,74570,,MPLX LP,"1515 Arapaho St., Tower 1, Suite 1600",Denver,CO,80202,40,211130
1013185,,2020,TARGA OAHU GAS PROCESSING PLANT,3542 FM 1776,Coyanosa,TX,79743,,TARGA RESOURCES CORP,"811 Louisiana Street, Suite 2100",Houston,TX,77002,100,211130
1013186,,2020,Hartree Channelview Facility,16518 De Zavalla Road,Channelview,TX,77530,,HARTREE CHANNELVIEW LLC,16518 De Zavalla Road,Channelview,TX,77530,100,324110
1013187,110070525465,2020,Tejas Power Generation,12582 Hiram Clarke Rd,Houston,TX,77045,HARRIS COUNTY,FRIENDSWOOD ENERGY GENCO LLC,"12100 Hiram Clarke Road, Bldg. D",Houston,TX,77045,100,221112
1013191,110070525544,2020,Sand Bluff Substation,,Big Spring,TX,79720,GLASSCOCK COUNTY,WETT HOLDINGS LLC,"c/o Wind Energy Transmission Texas, LLC, 210 Barton Springs Road, Suite 400",Austin,TX,78704,100,221121
1013192,110070525508,2020,Rover - Mainline CS #1,,Sherrodsville,OH,44675,CARROLL COUNTY,ENERGY TRANSFER LP,"800 East Sonterra Blvd., Suite 400",San Antonio,TX,78258,100,486210
1013193,110070543181,2020,Rover - Mainline CS #2,,Wooster,OH,44840,WAYNE COUNTY,ENERGY TRANSFER LP,800 E Sonterra Blvd,San Antonio,TX,78258,100,486210
1013194,110070525509,2020,Rover - Mainline CS #3,,Bloomville,OH,44818,CRAWFORD COUNTY,ENERGY TRANSFER LP,800 E Sonterra Blvd,San Antonio,TX,78258,100,486210
1013200,110070716085,2020,Sherwood Compressor Station,,New Minton,WV,26411,DODDRIDGE COUNTY,ENERGY TRANSFER LP,"800 East Sonterra Blvd, Suite 400",San Antonio,TX,78258,100,486210
1013201,110070716086,2020,Cadiz Compressor Station,,Cadiz,OH,43907,HARRISON COUNTY,ENERGY TRANSFER LP,"800 East Sonterra Blvd, Suite 400",San Antonio,TX,78258,100,486210
1013203,110070082204,2020,"Williams - G&B Facility - Denver Basin 540 (Tulsa, OK)",One Williams Center,Tulsa,OK,74172,WAGONER COUNTY,THE WILLIAMS COS INC,One Williams Center,Tulsa,OK,74172,50,211130
1013203,110070082204,2020,"Williams - G&B Facility - Denver Basin 540 (Tulsa, OK)",One Williams Center,Tulsa,OK,74172,WAGONER COUNTY,KKR & CO INC,"9 West 57th Street, Suite 4200",New Yord,NY,10019,50,211130
1013204,110070525498,2020,Walker Ridge 29 (Big Foot),,Offshore,LA,0,,CHEVRON CORP,6001 Bollinger Canyon Rd.,San Ramon,CA,94583,60,211120
1013204,110070525498,2020,Walker Ridge 29 (Big Foot),,Offshore,LA,0,,MARUBENI AMERICA CORP,"945 Bunker Hill Road, Suite 700",Houston,TX,77024,12.5,211120
1013204,110070525498,2020,Walker Ridge 29 (Big Foot),,Offshore,LA,0,,EQUINOR US HOLDINGS INC,"2107 CityWest Boulevard, Suite 100",Houston,TX,77042,27.5,211120
1013205,110070200837,2020,Air Products Baytown 3 Facility,7714 West Bay Rd.,Baytown,TX,77523,CHAMBERS COUNTY,AIR PRODUCTS & CHEMICALS INC,7201 Hamilton Blvd.,Allentown,PA,18195-1501,100,325120
1013207,110070525536,2020,Bearkat Substation,,Garden City,TX,79739,GLASSCOCK COUNTY,WETT HOLDINGS LLC,"c/o Wind Energy Transmission Texas, LLC, 210 Barton Springs Road, Suite 400",Austin,TX,78704,100,221121
1013208,110070525546,2020,Cottonwood Substation,,Roaring Springs,TX,79220,DICKENS COUNTY,WETT HOLDINGS LLC,"c/o Wind Energy Transmission Texas, LLC, 210 Barton Springs Road, Suite 400",Austin,TX,78704,100,221121
