Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1004377,1.10044E+11,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,COLLIN COUNTY,33.3,-96.54,562212,HH,Waste,"504,064.00",,"504,064.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"504,064.00",,,,N,N,N
1000112,1.1002E+11,23rd and 3rd,BROOKLYN,NY,11232,730 3rd Avenue,Kings,40.66,-74,221112,"C,D",Power Plants,"60,819.70","60,751.20",31.25,37.25,,,,,,,,,,199.1,"60,620.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1013621,1.10071E+11,3Bear Libby Gas Plant,Hobbs,NM,88240,674 Marathon Rd,LEA COUNTY,32.54,-103.52,211130,"C,W-PROC",Petroleum and Natural Gas Systems,"40,521.81","39,555.50",945.75,20.56,,,,,,,,,,"29,729.99",,,,,,,,,,,,,,,,,,,10791.824,,,,,,,,,,,,,,,,,,N,N,N
1003742,1.1001E+11,31st Street Landfill,WESTCHESTER,IL,60154,11700 W 31ST ST,COOK COUNTY,41.84,-87.92,562212,"C,HH",Waste,"100,500.95",334.9,"100,165.75",0.3,,,,,,,,,,335.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,165.50",,,,N,N,N
1003188,1.10001E+11,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,BROWN COUNTY,31.67,-99,326113,"C,N",Minerals,"29,359.64","29,329.50",13.75,16.39,,,,,,,,,,"29,237.34",,,,,,,,,122.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005043,1.10036E+11,3M CO,MAPLEWOOD,MN,55144,,RAMSEY COUNTY,44.95,-93,541715,C,Other,"82,308.24","82,223.00",38.75,46.49,,,,,,,,,,"82,308.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1012037,1.10064E+11,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.76,-105.79,213112,"C,W-PROC",Petroleum and Natural Gas Systems,"72,243.54","70,339.70","1,864.50",39.34,,,,,,,,,,"68,093.69",,,,,,,,,,,,,,,,,,,4149.844,,,,,,,,,,,,,,,,,,N,N,N
1003739,1.10001E+11,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,MARION COUNTY,33.97,-87.9,326113,"C,N",Minerals,"27,083.00","27,055.60",12.5,14.9,,,,,,,,,,"26,371.60",,,,,,,,,711.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007698,1.1E+11,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,MARATHON COUNTY,44.95,-89.64,212313,C,Other,"46,909.12","46,851.20",24.25,33.67,,,,,,,,,,"46,909.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004206,1.1E+11,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers","44,016.26","42,016.60",19.75,23.84,74,,,,,,2.07,"1,880.00",,"42,060.19",,,,,,,,"1,956.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
