Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC–22 Production from HFC–23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems – Offshore Production,Petroleum and Natural Gas Systems – Processing,Petroleum and Natural Gas Systems – Transmission/Compression,Petroleum and Natural Gas Systems – Underground Storage,Petroleum and Natural Gas Systems – LNG Storage,Petroleum and Natural Gas Systems – LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? 
1012037,1.10064E+11,50 Buttes Gas Plant,Gillette,WY,82716,3669 South Hwy 50,CAMPBELL COUNTY,43.85,-105.78,213112,"C,W-PROC",Petroleum and Natural Gas Systems,"77,649.48","72,329.20","5,279.75",40.53,,,,,,,,,,"70,785.98",,,,,,,,,,,,,,,,,,,6863.494,,,,,,,,,,,,,,,,,,N,N,N
1004206,1.1E+11,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,MORGAN COUNTY,34.64,-87.04,325211,"C,L,OO","Chemicals,Industrial Gas Suppliers","48,998.48","46,293.60",22,26.22,74,,,,,,2.66,"2,580.00",,"46,341.82",,,,,,,,"2,656.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006665,1.10014E+11,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,ROCK ISLAND COUNTY,41.76,-90.28,325998,"C,L,OO","Chemicals,Industrial Gas Suppliers","723,397.99","29,758.80",14.25,17.88,"31,986.37","508,653.26",,,"94,574.90","4,900.00",374.54,"53,118.00",,"29,790.93",,,,,,,,"693,607.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004836,1.1E+11,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,WASHINGTON COUNTY,44.79,-92.91,325998,"C,L,N,OO","Chemicals,Industrial Gas Suppliers,Minerals","40,325.94","31,053.70",20,49.47,381.06,"1,302.43",,,"4,363.00",166.15,4.93,"2,985.20","2,672.70","30,164.57",,,,,,,,"9,202.78",958.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003408,1.10041E+11,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72206,3110 WALTERS DRIVE,PULASKI COUNTY,34.71,-92.24,212399,C,Other,"25,541.60","25,515.30",12,14.3,,,,,,,,,,"25,541.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004914,1.1E+11,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,MCLEOD COUNTY,44.88,-94.36,326199,C,Other,"38,917.95","38,877.40",18.5,22.05,,,,,,,,,,"38,917.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004804,1.1E+11,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,VERNON COUNTY,37.83,-94.33,326113,C,Other,"33,196.28","33,162.30",15.5,18.48,,,,,,,,,,"33,196.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1013282,,3M Pittsboro,Moncure,NC,27559,4191 Hwy 87 South,,35.66,-79.18,327999,C,Minerals,"25,848.45","25,821.60",12.25,14.6,,,,,,,,,,"25,848.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007408,1.10056E+11,4 West Mine,Dilliner,PA,15327,625 Bald Hill Church Road,GREENE COUNTY,39.76,-80,212112,FF,Other,"27,813.50",,"27,813.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,813.50",,,,,,N,N,N
1001106,1.10041E+11,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,Allegan,42.76,-86.09,221112,"C,D",Power Plants,"32,159.83","32,127.50",14.75,17.58,,,,,,,,,,68.5,"32,091.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004680,1.10014E+11,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,MIAMI-DADE COUNTY,25.83,-80.35,562212,HH,Waste,"71,586.50",,"71,586.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"71,586.50",,,,N,N,N
1000766,1.10019E+11,59th Street,NEW YORK,NY,10019,850 12TH AVE,New York,40.77,-73.99,221330,C,Power Plants,"260,405.94","260,083.10",134.5,188.34,,,,,,,,,,"260,405.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007733,1.10041E+11,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,HARRIS COUNTY,29.76,-95.3,221320,C,Other,"21,834.07","21,811.60",10.25,12.22,,,,,,,,,,"21,834.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000767,1.10019E+11,74th Street,NEW YORK,NY,10021,506 E 75TH ST,New York,40.77,-73.95,221330,C,Power Plants,"270,795.33","270,459.40",139.25,196.68,,,,,,,,,,"270,795.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001033,1.10045E+11,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,Posey,37.91,-87.72,221112,D,Power Plants,"2,741,626.71","2,719,836.80","7,972.25","13,817.66",,,,,,,,,,,"2,741,626.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1012058,1.10068E+11,"A.C.M.S., Inc.",Lake Panasoffkee,FL,33538,835 CR 529,SUMTER COUNTY,28.74,-82.09,562212,HH,Waste,"95,999.00",,"95,999.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95,999.00",,,,N,N,N
1006009,1.10018E+11,ABB Inc.,Mt. Pleasant,PA,15666,100 Distribution Circle,WESTMORELAND COUNTY,40.18,-79.58,335313,SS,Other,"4,468.80",,,,,,"4,468.80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,468.80",,N,N,N
1002983,1.10018E+11,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,LAKE COUNTY,42.3,-87.89,424210,C,Other,"54,787.24","54,730.80",25.75,30.69,,,,,,,,,,"54,787.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007514,1.10008E+11,ABBVIE LTD.,BARCELONETA,PR,617,RD 2 KM 58.0,BARCELONETA MUNICIPIO,18.43,-66.57,325412,C,Chemicals,"86,045.70","85,769.50",82.5,193.7,,,,,,,,,,"86,045.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004511,1.1E+11,ABC COKE,TARRANT,AL,35217,ONE RAILROAD AVENUE,JEFFERSON COUNTY,33.58,-86.78,324199,"C,Q",Metals,"176,844.08","176,691.50",45,107.58,,,,,,,,,,"162,352.61",,,,,,,,,,,,"14,491.47",,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005353,1.10038E+11,ABERDEEN ENERGY LLC,MINA,SD,57451,13435 370TH AVENUE,EDMUNDS COUNTY,45.44,-98.79,325193,C,Other,"194,354.97","194,154.40",91.5,109.07,,,,,,,,,,"194,354.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006971,1.10064E+11,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,APG,MD,21005,4304 Susquehanna Ave,HARFORD COUNTY,39.4,-76.31,928110,C,Other,"106,920.02","106,766.50",60.25,93.27,,,,,,,,,,"106,920.02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002627,1.10027E+11,ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,50472,1372 STATELINE ROAD,MITCHELL COUNTY,43.5,-92.92,325193,"C,II","Other,Waste","170,171.85","169,932.70",142,97.15,,,,,,,,,475.6,"170,110.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.25,,,N,N,N
1006529,1.10014E+11,ACADIA PARISH POLICE JURY - ACADIA PARISH SANITARY LANDFILL,EGAN,LA,70531,611 PETAL RD,ACADIA PARISH,30.26,-92.53,562111,HH,Waste,"53,049.50",,"53,049.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"53,049.50",,,,N,N,N
1004761,1.10014E+11,ACE ETHANOL LLC,STANLEY,WI,54768,815 WEST MAPLE STREET,CHIPPEWA COUNTY,44.96,-90.96,325193,"C,PP","Other,Suppliers of CO2","73,526.12","73,450.50",34.5,41.12,,,,,,,,,,"73,526.12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005601,1.10007E+11,ACME BRICK CO ELGIN PLANT,ELGIN,TX,78621,1776 OLD MCDADE RD,BASTROP COUNTY,30.33,-97.29,327120,C,Minerals,"27,772.70","27,744.20",13,15.5,,,,,,,,,,"27,772.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005046,1.10007E+11,ACME GYPSUM FACILITY,QUANAH,TX,79252,4164 HIGHWAY 285,HARDEMAN COUNTY,34.32,-99.82,327420,C,Minerals,"38,344.16","38,304.70",18,21.46,,,,,,,,,,"38,344.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002731,1.10062E+11,ADA COGENERATION,ADA,MI,49355,7575 FULTON STREET EAST,KENT COUNTY,42.96,-85.48,221112,C,Power Plants,"100,988.82","100,884.70",47.5,56.62,,,,,,,,,,"100,988.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002685,1.10044E+11,AC 857 A,Offshore,TX,0,,,26.3,-94.9,211120,"C,W-OFFSH",Petroleum and Natural Gas Systems,"214,868.72","208,979.10","5,721.25",168.37,,,,,,,,,,"200,302.38",,,,,,,,,,,,,,,,,,14566.338,,,,,,,,,,,,,,,,,,,N,N,N
1003752,1.1004E+11,"ADA Carbon Solutions (Red River), LLC",Coushatta,LA,71019,201 Red River Mine Road,RED RIVER PARISH,32.01,-93.39,325998,C,Chemicals,"197,306.90","197,305.80",0.5,0.6,,,,,,,,,,"197,306.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003422,1.10009E+11,ADKINS ENERGY LLC,LENA,IL,61048,4350 WEST GALENA ROAD,STEPHENSON COUNTY,42.36,-89.8,325193,C,Other,"84,644.03","84,556.90",39.75,47.38,,,,,,,,,,"84,644.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002154,1.10013E+11,ADM - MANKATO,MANKATO,MN,56001,2019 3RD AVENUE,BLUE EARTH COUNTY,44.19,-94,311225,C,Other,"129,574.91","128,762.60",299.75,512.56,,,,,,,,,,"129,574.91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006208,1.1E+11,ADM CORN PROCESSING,CLINTON,IA,52732,1251 BEAVER CHANNEL PARKWAY,CLINTON COUNTY,41.82,-90.21,311221,"C,TT","Other,Waste","2,089,938.93","2,073,794.20","6,128.65","10,016.08",,,,,,,,,"56,094.20","2,089,648.03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.9,N,N,N
1006047,1.10011E+11,ADM CORN PROCESSING,CEDAR RAPIDS,IA,52404,1350 WACONIA AVENUE SOUTHWEST,LINN COUNTY,41.92,-91.69,311221,"C,II","Other,Waste","3,008,750.95","2,989,848.20","8,047.50","10,855.25",,,,,,,,,"9,941.10","3,007,055.20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,695.75",,,N,N,N
1010610,1.10033E+11,ADM Deerfield,Deerfield,MO,64741,17700 South Highway T,VERNON COUNTY,37.81,-94.59,311224,C,Other,"34,751.42","34,715.80",16.25,19.37,,,,,,,,,,"34,751.42",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1011855,1.10002E+11,ADM Fostoria,Fostoria,OH,44830,608 FINDLAY ROAD,HANCOCK COUNTY,41.15,-83.43,311224,C,Other,"28,360.84","28,331.80",13.25,15.79,,,,,,,,,,"28,360.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000376,1.10041E+11,ADM QUINCY,QUINCY,IL,62305,2100 GARDNER EXPRESSWAY,ADAMS COUNTY,39.9,-91.41,311224,C,Other,"102,194.75","102,073.90",53.5,67.35,,,,,,,,,,"102,194.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006080,1.10027E+11,ADM SOUTHERN CELLULOSE PROD.IN,CHATTANOOGA,TN,37410,103 W 45TH ST,HAMILTON COUNTY,35,-85.32,322110,C,Pulp and Paper,"31,847.27","31,812.40",15.5,19.37,,,,,,,,,,"31,847.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000034,1.10067E+11,ADM SOYBEAN PROCESSING - DES MOINES,DES MOINES,IA,50313,1935 EAST EUCLID AVENUE,POLK COUNTY,41.63,-93.58,311224,C,Other,"155,623.27","154,511.10",408,704.17,,,,,,,,,,"155,623.27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1011961,1.10012E+11,ADM Valdosta,Valdosta,GA,31601,1841 Clay Road,LOWNDES COUNTY,30.83,-83.25,311224,C,Other,"38,005.37","37,054.40",148.75,802.22,,,,,,,,,"68,168.60","38,005.37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001991,1.10001E+11,ADRIAN LANDFILL,ADRIAN,MI,49221,1970 N OGDEN HWY,LENAWEE COUNTY,41.89,-83.99,562212,HH,Waste,"7,499.75",,"7,499.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,499.75",,,,N,N,N
1001633,1.1007E+11,ADS-CEDAR HILL LANDFILL,RAGLAND,AL,35131,1319 NO BUSINESS CREEK ROAD,ST. CLAIR COUNTY,33.68,-86.25,562212,"C,HH",Waste,"94,485.66",,"94,464.50",21.16,,,,,,,,,"5,827.10",30.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,455.50",,,,N,N,N
1001636,1.10014E+11,ADS-PECAN ROW-EVERGREEN LANDFILLS,VALDOSTA,GA,31601,2995 WETHERINGTON LANE,LOWNDES COUNTY,30.81,-83.36,562212,HH,Waste,"309,782.00",,"309,782.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"309,782.00",,,,N,N,N
1006790,1.10041E+11,ADS-STAR RIDGE LANDFILL,MOODY,AL,35004,3301 ACMAR ROAD,ST. CLAIR COUNTY,33.61,-86.52,562212,HH,Waste,"143,100.50",,"143,100.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"143,100.50",,,,N,N,N
1002094,1.10034E+11,ADS/MCLEAN COUNTY LANDFILL,BLOOMINGTON,IL,61704,2105 W OAKLAND AVE,MCLEAN COUNTY,40.47,-89.03,562212,"C,HH",Waste,"8,221.30",15.8,"8,205.50",,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,205.50",,,,N,N,N
1001845,1.10044E+11,ADVANCED DISPOSAL CRANBERRY CREEK LANDFILL LLC,WISCONSIN RAPIDS,WI,54495,2510 ENGEL ROAD,WOOD COUNTY,44.41,-89.85,562212,"C,HH",Waste,"22,295.70",125.6,"22,169.50",0.6,,,,,,,,,133.7,126.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,169.25",,,,N,N,N
1003038,1.10007E+11,"ADVANCED DISPOSAL MAPLE HILL LANDFILL, LLC",MACON,MO,63552,31226 INTREPID ROAD,MACON COUNTY,39.73,-92.54,562212,"C,HH",Waste,"33,138.80",61,"33,077.50",0.3,,,,,,,,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,077.50",,,,N,N,N
1006979,1.10018E+11,ADVANCED DISPOSAL OAK RIDGE LANDFILL,BALWIN,MO,63021,1741 SULPHUR SPRING ROAD,ST. LOUIS COUNTY,38.56,-90.53,562212,HH,Waste,"5,774.75",,"5,774.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,774.75",,,,N,N,N
1001637,1.10012E+11,ADVANCED DISPOSAL ORCHARD HILLS LANDFILL INC,DAVIS JUNCTION,IL,61020,8290 HIGHWAY 251,OGLE COUNTY,42.14,-89.09,562212,"C,HH",Waste,"156,829.20",60.2,"156,769.00",,,,,,,,,,,60.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"156,769.00",,,,N,N,N
1006963,1.10018E+11,ADVANCED DISPOSAL VALLEY VIEW LANDFILL INC,DECATUR,IL,62522,1363 BEAR RD,MACON COUNTY,39.82,-89.04,562212,"C,HH",Waste,"34,028.20",94.7,"33,933.50",,,,,,,,,,,94.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,933.50",,,,N,N,N
1000627,1.1E+11,ADVANSIX INC - CHESTERFIELD PLANT,CHESTER,VA,23836,4101 BERMUDA HUNDRED RD,CHESTERFIELD COUNTY,37.34,-77.29,325211,C,Other,"54,836.59","54,779.00",26,31.59,,,,,,,,,,"54,836.59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1000630,1.10001E+11,ADVANSIX INCORPORATED - HOPEWELL,HOPEWELL,VA,23860,905 EAST RANDOLPH ROAD,HOPEWELL CITY,37.18,-77.16,325199,"C,G,PP","Chemicals,Suppliers of CO2","995,690.30","995,293.00",181.25,216.05,,,,,,,,,,"385,473.30",,,,"610,217.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Y,N
1005310,1.10012E+11,AES - PUERTO RICO COGENERATION PLANT,GUAYAMA,PR,785,"KM 142, RTE. #3 BO. JOBOS",GUAYAMA MUNICIPIO,17.95,-66.15,221112,C,Power Plants,"3,079,369.92","3,059,710.30","7,191.00","12,468.62",,,,,,,,,,"3,079,369.92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001444,1.10001E+11,AES Alamitos,LONG BEACH,CA,90803,690 N STUDEBAKER ROAD,Los Angeles,33.77,-118.1,221112,D,Power Plants,"686,655.26","685,958.20",318,379.06,,,,,,,,,,,"686,655.26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005972,1.10027E+11,AES HAWAII INC,KAPOLEI,HI,96707,91-086 KAOMI LP,HONOLULU COUNTY,21.3,-158.11,221112,C,Power Plants,"1,287,782.31","1,276,913.10","3,972.00","6,897.21",,,,,,,,,,"1,287,782.31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001447,1.10003E+11,AES Huntington Beach,HUNTINGTON BEACH,CA,92646,21730 NEWLAND ST,Orange,33.64,-117.98,221112,D,Power Plants,"201,661.55","201,456.60",93.5,111.45,,,,,,,,,,,"201,661.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001450,1.10014E+11,AES Redondo Beach,REDONDO BEACH,CA,90277,1100 N HARBOR DRIVE,Los Angeles,33.85,-118.4,221112,D,Power Plants,"194,694.98","194,497.70",90,107.28,,,,,,,,,,,"194,694.98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1001223,1.10001E+11,AES Warrior Run,CUMBERLAND,MD,21502,11600 MEXICO FARMS RD SE,Allegany,39.59,-78.75,221112,"C,D,PP","Power Plants,Suppliers of CO2","1,212,774.49","1,203,057.90","3,554.25","6,162.34",,,,,,,,,,202.5,"1,212,571.99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1003853,1.1E+11,AFTON CHEMICAL CORP,SAUGET,IL,62201,501 MONSANTO AVE.,ST. CLAIR COUNTY,38.6,-90.17,324191,C,Petroleum and Natural Gas Systems,"50,153.51","50,102.00",23.5,28.01,,,,,,,,,,"50,153.51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007551,1.10007E+11,AG Energy,Ogdensburg,NY,13669,21 Entrance Avenue,ST. LAWRENCE COUNTY,44.73,-75.44,221112,"C,D",Power Plants,"8,596.07","8,587.30",4,4.77,,,,,,,,,,"8,596.07",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002069,1.10019E+11,AG PROCESSING INC,EMMETSBURG,IA,50536,4739 380TH ST,PALO ALTO COUNTY,43.1,-94.65,311224,C,Other,"24,158.66","24,134.00",11.25,13.41,,,,,,,,,,"24,158.66",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1002070,1.1E+11,AG PROCESSING INC A COOP-MANNING,MANNING,IA,51455,1000 300TH STREET,CARROLL COUNTY,41.92,-95.07,311224,C,Other,"21,352.82","21,330.90",10,11.92,,,,,,,,,,"21,352.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006054,1.10011E+11,AG PROCESSING INC-EAGLE GROVE,EAGLE GROVE,IA,50533,500 NORTH COMMERCIAL AVENUE,WRIGHT COUNTY,42.67,-93.9,311224,C,Other,"105,532.06","104,942.60",218.75,370.71,,,,,,,,,,"105,532.06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
