GHGRP FACILITY ID,FRS ID (FACILITY),REPORTING YEAR,FACILITY NAME,FACILITY ADDRESS,FACILITY CITY,FACILITY STATE,FACILITY ZIP,FACILITY COUNTY,PARENT COMPANY NAME,PARENT CO. STREET ADDRESS,PARENT CO. CITY,PARENT CO. STATE,PARENT CO. ZIP,PARENT CO. PERCENT OWNERSHIP,FACILITY NAICS CODE
1000001,110000490166,2017,PSE Ferndale Generating Station,5105 LAKE TERRELL ROAD,FERNDALE,WA,98248,WHATCOM COUNTY,PUGET SOUND ENERGY,10885 NE 4th St,Bellevue,WA,98004,100,221112
1000002,110041175000,2017,Ardagh Glass Inc. (Dunkirk),524 E. CENTER STREET,DUNKIRK,IN,47336,JAY COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000003,110001482887,2017,Ardagh Glass Inc. (Henderson),620 Facet Road,Henderson,NC,27537,VANCE COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000004,110000833518,2017,Ardagh Glass Inc. (Lincoln),1200 NORTH LOGAN STREET,LINCOLN,IL,62656,LOGAN COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000005,110000482022,2017,Ardagh Glass Inc. (Madera),24441 AVENUE 12 & ROAD 24 1/2,MADERA,CA,93637,MADERA COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000006,110000834900,2017,Ardagh Glass Inc. (Milford),1 NATIONAL STREET,MILFORD,MA,1757,WORCESTER COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000007,110007014774,2017,AMERICAN GYPSUM - BERNALILLO (WALLBOARD) PLANT,1000 N HILL RD,BERNALILLO,NM,87004,SANDOVAL COUNTY,EAGLE MATERIALS INC,3811 Turtle Creek,Dallas,TX,75219,100,327420
1000008,110070081749,2017,"St. Lawrence Gas Co., Inc.",33 Stearns Street,Massena,NY,13662,ST. LAWRENCE COUNTY,ST LAWRENCE GAS CO INC,33 Stearns Street,Massena,NY,13662,100,221210
1000010,110013945437,2017,SANTA ROSA CENTRAL LANDFILL,6337 DELISA RD.,MILTON,FL,32583,SANTA ROSA COUNTY,SANTA ROSA BOARD OF COUNTY COMMISSIONERS,"6495 Caroline Street, Suite M",Milton,FL,32570,100,562212
1000011,110000807379,2017,Central Hudson Gas and Electric Corporation,284 South Avenue,Poughkeepsie,NY,12601,DUTCHESS COUNTY,CENTRAL HUDSON GAS & ELECTRIC CORP,284 South Avenue,Poughkeepsie,NY,12601,100,221122
1000015,110000492734,2017,"TYSON FARMS, INC.",704 FACTORY STREET,WILKESBORO,NC,28697,WILKES COUNTY,TYSON FOODS INC,DON TYSON PKWY,SPRINGDALE,AR,72762,100,311615
1000016,110001478696,2017,TYSON FARMS INCORPORATED HARMONY,501 SHEFFIELD ROAD,HARMONY,NC,28634,IREDELL COUNTY,TYSON FOODS INC,2200 Don Tyson Parkway,Springdale,AR,72762,100,311613
1000017,110056953765,2017,BASF CORPORATION,3150 HWY JJ,PALMYRA,MO,63461,MARION COUNTY,BASF CORP,100 Campus Drive,Florham Park,NJ,7932,100,325320
1000019,110000448579,2017,WESTERN SUGAR COMPANY,2100 E. OVERLAND DR.,SCOTTSBLUFF,NE,69361,SCOTTS BLUFF COUNTY,WESTERN SUGAR COOPERATIVE,7555 E Hampden Ave Ste 520,Denver,CO,80231,100,311313
1000020,110000332275,2017,Ardagh Glass Inc. (Port Allegany),ONE GLASS PLACE,PORT ALLEGANY,PA,16743,MCKEAN COUNTY,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000021,110009576930,2017,Ardagh Glass Inc. (Ruston),4241 HIGHWAY 563,SIMSBORO,LA,71275,LINCOLN PARISH,ARDAGH GROUP,1209 Orange Street,Wilmington,DE,19801,100,327213
1000022,110000619466,2017,ISP TECHNOLOGIES TEXAS CITY PLANT,4501 ATTWATER AVENUE,TEXAS CITY,TX,77590,GALVESTON COUNTY,ASHLAND INC,50 E. RiverCenter Blvd.,Covington,KY,41012,100,325199
